"id","user","userID","game","gameIndex","achieved","percent","total"
"0","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZB7NInUeS326RpJH","1","1925","63","3100"
"1","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZPwLjPIMVa6CLMJe","2","250","84","300"
"2","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZiu_df88yWUvHxVO","3","1150","64","1800"
"3","0J5jNu7OmnVvFidLF8ngEsW7wz13","2","-KYF2x3tmswwWv3nyEGo","1","2775","75","3700"
"4","0J5jNu7OmnVvFidLF8ngEsW7wz13","2","-KYF3AwCyGjr5V-EOVdQ","2","0","0","0"
"5","0m5wLBi34UXjHy8LMQeQsGPkqF52","3","-KYF5YwHQHNdlfkjcorJ","1","1200","75","1600"
"6","0uKu07pstJZdQAQACYKEZKwl4kd2","4","-KYExfrtVM-RNforRAKQ","1","2750","79","3500"
"7","0uKu07pstJZdQAQACYKEZKwl4kd2","4","-KYF1HgA5voqFYCO_Zio","2","2125","76","2800"
"8","0uKu07pstJZdQAQACYKEZKwl4kd2","4","-KYF1XkgMA8hMuF0165l","3","3075","84","3700"
"9","0uKu07pstJZdQAQACYKEZKwl4kd2","4","-KYF1mD_rWJRSznzISY5","4","3150","81","3900"
"10","19TKKRphufR4trh0R1ig4bX6COK2","5","-KcSj6w9ejAerjliLusv","1","1225","59","2100"
"11","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbZbrqYK3cc2nq7qBGt","1","2375","88","2700"
"12","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbZxOy32YvRJbpn1gAR","2","1025","86","1200"
"13","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbZxkGT-OV4HJ4fS9IZ","3","925","85","1100"
"14","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbZy6iddLDL-VC-yNMU","4","975","89","1100"
"15","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbZyQ8Jq58aEdwjTfbr","5","825","83","1000"
"16","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbbD87mQciozfgeLfX-","6","650","82","800"
"17","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbbDSgcE8xQ0yb9N_9F","7","1075","90","1200"
"18","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbbDodwxPGgZ1EHoYmh","8","975","98","1000"
"19","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-Kbjh31tNhF3gWS83Bhd","9","1350","90","1500"
"20","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KfLzjy3_O6Qn5zs965y","10","725","81","900"
"21","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KfM-5154MXFe-29aAgS","11","900","90","1000"
"22","34W85Aa4pkcOEoOOftbEUVRLR8H3","7","-K_20Mg-0PWP8yYeRFpo","1","725","81","900"
"23","34W85Aa4pkcOEoOOftbEUVRLR8H3","7","-K_20hKLLqpinPaLm0kK","2","1875","86","2200"
"24","34W85Aa4pkcOEoOOftbEUVRLR8H3","7","-K_2127iH9jXgW3dUcGL","3","2250","81","2800"
"25","4Y07tRQsumhszz33EgTre2BG3mK2","8","-KYFXKtktIAAAk_jjV13","1","2425","76","3200"
"26","5UfbfQprNSfxpbCUQ4DK2h6xElJ3","9","-KYFJOhUUJArFoJMlWZn","1","2025","78","2600"
"27","6o8nsLc67nPtIPmmuFE0UdG3iih1","10","-KYKnG_k_9LNM8pXYwiA","1","1550","78","2000"
"28","71bG32N9BxeDhoy3wqjW4AflOcq1","11","-KYFG1h7gbTqyQ231Rex","1","1550","65","2400"
"29","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KYFBU4bXurPlWRP8TGA","1","2175","84","2600"
"30","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KYFBrNQXS8dFJ0YvQW1","2","875","88","1000"
"31","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KYFCDFzBE4vfW8zy-GG","3","900","90","1000"
"32","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KYFCf1Pas-v0sVPBLv4","4","875","88","1000"
"33","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KYGVEmAnzTA99K9mziq","5","800","80","1000"
"34","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KYGVc_kB7p8C2qGlRGj","6","825","92","900"
"35","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KYGVvqHiCx2krh2yH-z","7","925","93","1000"
"36","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KYGWGh3yMnI6j2ngzjP","8","1000","91","1100"
"37","75mZOzels9UwhQKpxf04iyg6mAE2","12","-KaXMtX8ZaqCAPARFaNc","9","950","87","1100"
"38","8B7xwXCkrOatGCeNJhWTCTnej3f1","13","-KeZRNqhIdTGdNWQ8Ket","1","2250","81","2800"
"39","9EGGoT09dwebYGVUJCsNwR698EI2","14","-KYFNEI0BJONulMEvH_C","1","1775","81","2200"
"40","9bmMG1xbbQMuckZ92Da5E1CexLD3","15","-KYFUXBj3CPEu6AY3BdE","1","2925","77","3800"
"41","9bmMG1xbbQMuckZ92Da5E1CexLD3","15","-KYFokud39sCIKRrc4S7","2","2425","90","2700"
"42","9bmMG1xbbQMuckZ92Da5E1CexLD3","15","-KYFp0RtVtn7O3C_UedB","3","3425","91","3800"
"43","9kcTKt5CPVUJGBFSku7TIBxJkY82","16","-Keok1B2nQtS2Sgj-qa_","1","2950","74","4000"
