"id","user","userID","game","gameIndex","timestamp","isodate","achieved","total","percent","common","mangled","passphrase","random","predictable","overallTendency","overallRatings","overallScores","overallGuessesLog10","overallGuesses","commonTendency","commonRatings","commonScores","commonGuessesLog10","commonGuesses","mangledTendency","mangledRatings","mangledScores","mangledGuessesLog10","mangledGuesses","passphraseTendency","passphraseRatings","passphraseScores","passphraseGuessesLog10","passphraseGuesses","randomTendency","randomRatings","randomScores","randomGuessesLog10","randomGuesses","predictableTendency","predictableRatings","predictableScores","predictableGuessesLog10","predictableGuesses"
"354","sW36OCE0oEQpvod1bTqkgGWTnUY2","217","-L38US5PUPyTQ7A7O93Y","1","1516282693881","2018-01-18","800","1100","73","4","2","2","2","1","-0.72727","2.18182","2.90909","6.9389552302859","9282550284027858.0000","-0.25","1","1.25","2.751773766331937","750","1","3","2","3.848043044789928","7051","-3.5","1.5","5","13.62803209231615","51053370558389260","-1","4","5","11.747077303969284","656000005000.5","0","3","3","6.875107585665958","7500800"
"322","p0NUhLCLLRcd5NXfbUQYKyuIuyC2","200","-L2y-L__xNsnJxlJedGZ","1","1516090170984","2018-01-16","1475","2200","68","3","7","5","2","5","-0.68182","2.18182","2.86364","6.7582952149060","4520483858284847.0000","-0.3333333333333333","1","1.3333333333333333","2.964200358486991","1003.3333333333334","0.2857142857142857","2.2857142857142856","2","3.689358898655112","7224.714285714285","-3","1.8","4.8","12.42028269219532","19690128972689244","0.5","4.5","4","11.000000021714722","500000005000001","-0.4","2.2","2.6","5.9725935714958","1753361.6"
"22","1pt0JjfSSUeZ9jsmIsa4VzWd0SS2","8","-L2XO8O6nsuzag3rWTg6","1","1515626730293","2018-01-10","1600","2100","77","3","3","1","6","8","-0.95238","1.90476","2.85714","7.0360283495248","16128718690638982.0000","-1","1","2","3.2259279170743924","1691.6666666666667","0","1.3333333333333333","1.3333333333333333","3.1612112510989174","4442","0","5","5","17.52880373348935","337912092346326400","-1","3","4","10.125883100709542","131833354549667.33","-1.375","1.25","2.625","6.288884437219196","3721962.625"
"314","nlHxjW6LZXaRs0c9GKPUlC2QWta2","194","-L1J7jLJnjTZ3xiR3II2","1","1514313807927","2017-12-26","1075","1600","68","3","4","7","1","1","-0.56250","2.75000","3.31250","7.2727442031025","71158566701833.8800","-0.6666666666666666","1.3333333333333333","2","3.121599595016034","1336.3333333333333","1.25","3","1.75","3.417106295749706","4539","-1.8571428571428572","2.7142857142857144","4.571428571428571","10.315984236235533","19791009413225.145","0","5","5","14.999999999999998","1000000000000001","1","4","3","6.118793627944349","1314600"
"59","Agp1oaksMkMQH2S1pmNQVigUYM83","29","-L0Z2GpThtMbbMcBwqyi","1","1513507264528","2017-12-17","1050","1300","81","4","1","3","2","3","-0.30769","2.23077","2.53846","5.7817078869856","407594193.6154","-0.5","1","1.5","2.913483082734073","1037.5","1","3","2","3.8051609015994337","6385","-1.6666666666666667","2.3333333333333335","4","9.118663959273425","1756811514.6666667","1","4","3","7.000000043429445","10000001","0","2.3333333333333335","2.3333333333333335","6.115705777865934","2759812"
"46","7CAuO7xJuMf7kBcnNd5btXsSjrw2","20","-L-fbkSdskuLM5WH8CBP","1","1512560334631","2017-12-06","1375","1600","86","3","2","2","7","2","-0.43750","2.68750","3.12500","7.4455981731762","63209020609306.8750","0","1.3333333333333333","1.3333333333333333","2.6125147896656915","633.6666666666666","0.5","2.5","2","3.805023437378411","6533","-2","2.5","4.5","10.839231594354889","666150846472","-0.5714285714285714","3.4285714285714284","4","10.000000012538706","144287431428572.44","0","2.5","2.5","6.0017581252926036","4020496"
"55","ASEBwHukJfOYoBjQzEWveMxRcap1","27","-L-dfU2CrDvtBOC9G1AK","1","1512527753206","2017-12-06","1250","1800","70","3","4","4","3","4","-0.44444","2.50000","2.94444","6.9928576639454","6970150941276.7770","-0.3333333333333333","1.3333333333333333","1.6666666666666667","2.728380436158682","950.6666666666666","0.75","2.75","2","3.960710184294653","10975.75","-3","1.75","4.75","12.550431492164742","28865671456582","1.3333333333333333","5","3.6666666666666665","9.000000028952977","3333340000001","-0.5","2","2.5","6.160432462461243","2767474"
"57","Aao0kFIMVsMSNbN0F5nQU2fJhko1","28","-L-dfZubfpE_06jnMMJ4","1","1512527776677","2017-12-06","2175","3200","68","5","7","9","6","5","-0.53125","2.62500","3.15625","7.3485925057773","1625946414179967.5000","-0.2","1.2","1.4","2.9635200066942304","1047.2","1.1428571428571428","3.142857142857143","2","3.7511534692085013","7355.428571428572","-2","2.5555555555555554","4.555555555555555","10.732665797388872","5658787249019999","-0.8333333333333334","3.8333333333333335","4.666666666666667","11.666666673906427","183533335000001","-0.2","2","2.2","5.497058729400974","504448.8"
"61","AoIM7wq3cBQLpOjRkKx0RjmLw9r2","30","-L-dfhB00OSLsorXF4Lx","1","1512527810357","2017-12-06","1100","1700","65","4","1","4","4","4","-1.17647","2.00000","3.17647","7.9906186340099","9767604766945810.0000","0","1.5","1.5","2.986847795153734","1007.25","0","2","2","3.015359755409214","1036","-3.25","1.75","5","14.11575790507487","41262317505112820","-1","3","4","10.250000010976791","250002752500001","-0.75","1.75","2.5","5.853683544484517","1905614"
"81","G6vCxf9gLyTPjmJCXu8FdAwcAX03","47","-L-dfPAGDk2XiGL42iQr","1","1512527730603","2017-12-06","600","900","67","1","2","4","0","2","1.11111","4.11111","3.00000","6.5235776068286","2932143784.4444","1","2","1","2.5340261060561344","342","2.5","4","1.5","3.1076779802589227","1788","0.25","4.5","4.25","9.444534339601292","6596704043.5","NaN","NaN","NaN","NaN","NaN","1.5","4.5","3","6.092339518238996","1236984"
"85","HWIswN5YL6TZeanI8eYj4Os3Rz93","51","-L-dfUCaGU8zWLC0OHHt","1","1512527751988","2017-12-06","2700","3600","75","7","8","9","10","2","0.11111","3.33333","3.22222","7.8228451254609","4728110675331007.0000","0.7142857142857143","2.4285714285714284","1.7142857142857142","3.0455995962059417","1184","1.25","3","1.75","3.5452307194755983","7318.25","-0.8888888888888888","3.888888888888889","4.777777777777778","12.93454888227027","18790085919693988","-0.5","3.7","4.2","10.300000013077518","110121103000001","1","3.5","2.5","6.265220758068636","2301754"
"368","teU3rpHrfAcmyDTfgdpAtvHoT8i1","223","-L-dfPLLEyajZ0YBybLl","1","1512527733568","2017-12-06","2600","3200","82","10","5","2","5","10","-0.12500","2.34375","2.46875","5.5998091350757","2317313635983877.5000","0.2","1.6","1.4","2.7434946373159206","875.4","0.6","2.4","1.8","3.429490318029824","3681","-1","4","5","13.686823217475428","37071784099470024","-0.4","3.4","3.8","9.134067754283164","2093626000000.8","-0.5","2.2","2.7","6.156750915274645","2251690.8"
"382","vrf9isbPxrbl143gZOLGYi3pSm33","231","-L-dfoqvcN2yGeTT6anA","1","1512527842546","2017-12-06","2400","3000","80","8","3","6","10","3","-0.06667","3.10000","3.16667","7.5541801139759","992529151241145.6000","0","1.375","1.375","2.6590256628257896","765.125","1","3","2","3.4498301934645608","2878.3333333333335","-1.3333333333333333","3.3333333333333335","4.666666666666667","11.787644742216749","4792445568449704","0","4.3","4.3","10.600000009164534","102120112000001","1","3.3333333333333335","2.3333333333333335","6.092612997110503","2173794.6666666665"
"133","OjdKV2Tt2thVFpuUupXwUlkduyG2","79","-L-dfe6ZMxdYH1UM_KNd","1","1512527798092","2017-12-06","2475","3400","73","6","8","8","7","5","-0.79412","2.11765","2.91176","6.8686079561457","785057299328803.4000","-0.16666666666666666","1.5","1.6666666666666667","2.896282397734831","1026","0.125","2.125","2","3.801381481066596","7498","-2.25","2.375","4.625","12.006957408869718","3335242119867046","-1.1428571428571428","2.4285714285714284","3.5714285714285716","8.822680085214724","1430173676858","-0.2","2","2.2","5.585900881310264","487760.8"
"399","wfdFATpTIkc5iIRu5L3Q76fBC1r1","233","-L-dfSrIyj6Zpgu1Tn-c","1","1512527748490","2017-12-06","1525","1800","85","2","7","3","3","3","-0.27778","2.55556","2.83333","6.1117094277639","565180365158.2222","0","1.5","1.5","2.962532221051002","1053","0.42857142857142855","2.2857142857142856","1.8571428571428572","3.239435166141696","9256.57142857143","-1.3333333333333333","3","4.333333333333333","9.883254585553845","51078434496","-0.6666666666666666","4","4.666666666666667","11.000000144779245","3340000003334","-0.6666666666666666","2","2.6666666666666665","6.2532983012187975","3730818.6666666665"
"150","RJpyRH2CEgUgffSkYSCpKAYA3G12","96","-L-dfnGErstY-8TTEbv6","1","1512527835859","2017-12-06","2275","2700","85","5","10","1","4","7","0.03704","2.25926","2.22222","4.8941233937759","47529662.8148","0.2","1.4","1.2","2.5394564942340163","595.2","0.5","2.3","1.8","3.3771408831434853","4841.8","-1","2","3","7.557960388061201","36137690","-0.75","2.5","3.25","8.000000013137406","302500001","-0.14285714285714285","2.7142857142857144","2.857142857142857","6.587811412676355","5301686.857142857"
"153","RmynEREHO0cnlygkiuo4NYh4Ehi1","99","-L-dfT5qIApDnTeiI-rS","1","1512527748553","2017-12-06","1225","1800","69","4","3","5","2","4","-0.83333","2.22222","3.05556","7.5010845523585","10078626357308008.0000","-0.5","1.25","1.75","3.003930615264659","1190.75","0.6666666666666666","2.6666666666666665","2","3.9804009055751823","11226","-2.2","2","4.2","11.706502789458195","36203654863018900","-1.5","3.5","5","13.298847647798127","198500050000000.5","-0.25","2.5","2.75","6.483096880445477","4102815"
"238","aSHVLMGbs1XM6VWU46nIRJvxGLy2","148","-L-dfVTWOCKHiD4omAIT","1","1512527758249","2017-12-06","2975","3900","77","8","5","7","7","12","-0.38462","2.46154","2.84615","7.0716104114942","2836565887135869.0000","0.5","2","1.5","2.9032922006920634","988.5","0.6","2.6","2","3.80628521529329","7601.2","-2.142857142857143","2.5714285714285716","4.714285714285714","14.42705728385038","15800912478371254","-0.2857142857142857","3.2857142857142856","3.5714285714285716","8.551579108442871","2811746241429.2856","-0.4166666666666667","2.1666666666666665","2.5833333333333335","6.057048968351542","2163682"
"33","5apJd4EOCWbZANt6Q96Hhq5Pkxa2","15","-L-FaAtkdJpfDtQXw2ym","1","1512106933561","2017-12-01","850","1200","71","2","1","3","2","4","-0.50000","2.41667","2.91667","7.3279567368881","469948843055710.7500","-0.5","1","1.5","2.877021193392718","1025","2","4","2","3.7882390973821676","6141","-2.3333333333333335","2.3333333333333335","4.666666666666667","13.477834135356408","1879795362883216","1","4","3","7.000000043429445","10000001","-0.5","2","2.5","5.98992421639039","2002672"
"271","h824JqJJ2vU9TfDV5a452UYUFdj1","171","-L-9XgLEJf5i0Rcqh0lB","1","1512005354668","2017-11-30","2925","4000","74","9","5","6","9","11","-1.07500","1.70000","2.77500","6.7711642734962","2607871228961377.5000","-0.3333333333333333","1","1.3333333333333333","2.6960792812304595","797.2222222222222","-0.6","1.2","1.8","3.3973529594867635","4577.8","-1","3.8333333333333335","4.833333333333333","13.625099543448405","17337129852409536","-2.2222222222222223","1.4444444444444444","3.6666666666666665","9.014171414431022","32452224666667.445","-1","1.5454545454545454","2.5454545454545454","6.065177510979141","1997072.7272727273"
"274","i8byM9nHVBT48m573ZYpRUhn1Z63","174","-L-9XdDhncvCBnfzWiQP","1","1512005316445","2017-11-30","1925","2900","67","6","7","7","6","3","-0.58621","2.31034","2.89655","6.2941446666091","126437275313713.6200","-0.6666666666666666","1","1.6666666666666667","2.972324108848083","1173.5","1","2.7142857142857144","1.7142857142857142","3.2473811928474987","6027.428571428572","-3","1.7142857142857142","4.714285714285714","10.677024544504707","523797121478276","0.6666666666666666","4.166666666666667","3.5","8.166666689178319","16855000001","-1","1.6666666666666667","2.6666666666666665","6.075136794013315","1233508"
